rental_id,building_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,submarket,borough,Sate,zip1
1545,44518357,2550,0,1,480,9,2,17,1,1,0,0,1,1,0,1,Upper East Side,All Upper East Side,Manhattan,NY,10021
2472,94441623,11500,2,2,2000,4,1,96,0,0,0,0,0,0,0,0,Greenwich Village,All Downtown,Manhattan,NY,12834
10234,87632265,3000,3,1,1000,4,1,106,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens,NY,11101
2919,76909719,4500,1,1,916,2,51,29,0,1,0,1,1,1,0,0,Midtown,All Midtown,Manhattan,NY,10020
2790,92953520,4795,1,1,975,3,8,31,0,0,0,1,1,1,0,1,Greenwich Village,All Downtown,Manhattan,NY,12834
2869,8967298,3600,3,2,900,4,1,15,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn,NY,11206
10524,60898078,1950,1,1,950,1,3,83,0,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens,NY,11375
3946,23468975,17500,2,2,4800,3,4,136,0,0,0,1,1,1,0,1,Soho,All Downtown,Manhattan,NY,10012
5465,73060494,3500,1,1,996,9,7,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens,NY,11101
10817,64726877,3800,3,2,1100,3,5,101,0,0,0,0,0,0,0,0,Central Harlem,All Upper Manhattan,Manhattan,NY,10037
4318,57792653,3900,3,2,1000,4,9,8,0,0,0,0,1,0,0,0,Greenwood,South Brooklyn,Brooklyn,NY,11232
9077,87831371,1995,0,0,600,6,1,115,0,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan,NY,10017
5150,28448754,2995,0,1,579,6,21,33,0,0,0,0,0,0,0,0,Battery Park City,All Downtown,Manhattan,NY,10280
6265,20382303,2700,2,1,900,4,2,96,0,0,0,0,0,0,0,0,Gowanus,Northwest Brooklyn,Brooklyn,NY,11217
9507,84137202,15000,2,2,1715,0,30,2,0,0,0,0,0,0,0,0,Flatiron,All Downtown,Manhattan,NY,10010
1437,66221183,4650,1,1,915,5,5,106,0,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan,NY,10021
404,17340497,2950,1,1,550,43,17,14,1,1,0,1,1,0,0,0,Upper East Side,All Upper East Side,Manhattan,NY,10021
24,96767093,4900,1,1,1216,6,3,88,0,0,0,0,0,0,0,0,Brooklyn Heights,Northwest Brooklyn,Brooklyn,NY,11201
8293,47607639,6920,3,2,1439,7,9,39,1,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan,NY,10017
6594,9417041,4875,1,1,900,1,14,52,1,0,1,1,1,1,0,1,East Village,All Downtown,Manhattan,NY,10003
2964,38443215,4850,1,1,789,2,40,11,0,0,0,0,0,0,0,0,Midtown West,All Midtown,Manhattan,NY,10019
5259,2540088,1725,1,1,800,1,2,89,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens,NY,11101
5405,13046465,3700,1,1,947,5,5,85,1,0,1,0,1,0,1,0,Upper East Side,All Upper East Side,Manhattan,NY,10021
9481,25024137,3900,0,1,1100,3,4,85,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn,NY,11206
5635,15059636,4200,2,1,900,4,8,111,1,0,0,0,0,0,0,0,Upper West Side,All Upper West Side,Manhattan,NY,10023
9736,5154242,1700,1,1,730,10,3,7,0,0,0,0,0,0,0,0,Briarwood,Northeast Queens,Queens,NY,11435
3833,41319561,2550,2,1,1000,4,3,20,1,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens,NY,11375
5832,62413143,2195,1,1,500,3,3,106,1,0,0,0,0,0,0,0,Lower East Side,All Downtown,Manhattan,NY,10002
7050,9925024,4200,1,1,640,3,15,52,1,0,0,0,0,0,0,0,Tribeca,All Downtown,Manhattan,NY,10013
476,68822326,9000,2,2,1749,4,15,10,0,0,0,1,0,0,0,0,Midtown East,All Midtown,Manhattan,NY,10017
3491,93814173,4950,1,1,870,2,9,11,0,1,1,0,0,1,0,0,Midtown,All Midtown,Manhattan,NY,10020
2172,67594835,3000,0.5,1,573,11,8,31,0,0,0,0,1,0,0,0,Upper East Side,All Upper East Side,Manhattan,NY,10021
2443,38985498,2450,1,1,700,3,2,106,0,0,0,0,0,0,0,0,Central Harlem,All Upper Manhattan,Manhattan,NY,10037
849,26340900,2750,1,1,700,12,3,9,1,0,0,0,0,0,0,0,Clinton Hill,Northwest Brooklyn,Brooklyn,NY,11205
11328,81974065,1950,0,1,400,6,3,56,0,1,1,0,0,1,0,0,Gramercy Park,All Downtown,Manhattan,NY,10016
4315,91154087,2550,2,1,1081,2,3,65,1,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens,NY,11374
6142,19335948,3375,1,1,652,3,12,15,1,0,0,0,0,0,0,0,Upper West Side,All Upper West Side,Manhattan,NY,10023
6216,96726932,2395,2.5,1,1000,3,1,106,0,0,0,0,0,0,0,0,East Harlem,All Upper Manhattan,Manhattan,NY,10029
6029,33949660,2700,2,1,750,7,14,96,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn,NY,11206
3686,30668825,4905,2,2,1114,6,5,2,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn,NY,11206
7616,68798163,2000,1,1,700,4,2,85,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn,NY,11206
9535,22319464,4990,1,1,823,5,22,44,1,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan,NY,10017
4678,41713885,7495,2,2,1431,3,4,10,0,1,1,1,1,1,0,1,Upper West Side,All Upper West Side,Manhattan,NY,10023
5169,3123316,10000,1,2,1600,2,3,5,1,0,0,0,1,0,0,0,Tribeca,All Downtown,Manhattan,NY,10013
5230,92282891,3090,2,1,800,10,3,106,0,0,0,0,0,0,0,0,East Village,All Downtown,Manhattan,NY,10003
863,62708999,3200,1,1,800,5,3,27,0,0,0,0,0,0,0,0,Boerum Hill,Northwest Brooklyn,Brooklyn,NY,11243
1710,4542822,10904,3,3,1307,6,26,6,1,0,0,0,0,0,0,0,Upper West Side,All Upper West Side,Manhattan,NY,10023
11111,14275248,2100,0,1,410,8,3,106,0,0,0,0,0,0,0,0,Midtown West,All Midtown,Manhattan,NY,10019
10393,52278058,2499,0,1,400,2,3,116,1,1,1,1,1,0,0,1,Upper West Side,All Upper West Side,Manhattan,NY,10023
9177,37204663,3650,2,1,763,10,30,27,0,0,0,1,1,0,0,1,Midtown East,All Midtown,Manhattan,NY,10017
9536,14953158,3800,2,1,900,4,6,116,0,0,0,0,0,0,0,0,Lower East Side,All Downtown,Manhattan,NY,10002
133,31656128,9800,2,2,1270,7,7,6,0,1,1,1,1,0,0,0,Gramercy Park,All Downtown,Manhattan,NY,10016
8742,21755311,2950,2,1,1000,4,3,85,0,0,0,0,0,0,0,0,Park Slope,Prospect Park,Brooklyn,NY,11215
4687,44398556,4350,1,1,783,2,6,29,0,1,0,1,1,0,0,0,West Village,All Downtown,Manhattan,NY,10014
4557,14201511,2495,2,1,800,4,4,96,0,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan,NY,10021
403,17340497,3625,1,1,650,43,19,14,1,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan,NY,10021
9103,84738920,1950,2,1,950,5,2,75,0,0,0,0,0,0,0,0,Sheepshead Bay,South Brooklyn,Brooklyn,NY, 11229 
899,49239817,9000,2,2,1250,13,46,9,1,0,0,0,0,0,0,0,Midtown West,All Midtown,Manhattan,NY,10019
4733,38107468,5800,2,2,1200,2,6,75,0,0,0,0,1,1,0,0,Central Park South,All Midtown,Manhattan,NY, 10019 
3545,70847172,3100,1,1,787,6,3,9,1,1,0,1,1,0,1,0,Long Island City,Northwest Queens,Queens,NY,11101
2154,75840224,3295,1,1,465,5,2,29,0,1,0,1,1,0,0,0,West Village,All Downtown,Manhattan,NY,10014
5606,68186648,1399,0,1,580,8,1,13,0,0,0,0,0,0,0,0,Briarwood,Northeast Queens,Queens,NY,11435
10632,89956739,1799,1,1,650,7,3,8,0,0,0,0,0,0,0,0,Greenwood,South Brooklyn,Brooklyn,NY,11232
1348,5941446,2200,0,1,325,6,24,87,0,1,0,1,1,1,0,0,Midtown East,All Midtown,Manhattan,NY,10017
10158,47607639,5485,2,1,1028,7,24,39,1,0,1,0,0,1,0,0,Midtown East,All Midtown,Manhattan,NY,10017
668,4919158,2950,0,1,765,2,4,29,0,1,0,1,1,0,0,1,Upper West Side,All Upper West Side,Manhattan,NY,10023
4268,95378356,2750,1,1,600,9,12,57,0,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan,NY,10017
10716,18269112,8200,2,2,1431,9,8,7,0,0,0,0,0,0,1,0,Chelsea,All Downtown,Manhattan,NY,10199
6366,49711384,2000,2,1,750,3,1,106,0,0,0,1,0,0,1,0,Central Harlem,All Upper Manhattan,Manhattan,NY,10037
9899,57174723,4995,3,1,1100,2,2,13,0,0,0,1,1,0,0,1,Financial District,All Downtown,Manhattan,NY,10004
8005,87834519,1875,2,1,900,3,4,91,0,0,0,0,0,0,0,0,Inwood,All Upper Manhattan,Manhattan,NY,10034
8976,60046461,3900,1,1,750,6,6,106,1,0,0,0,0,0,0,0,Gramercy Park,All Downtown,Manhattan,NY,10016
3637,64160022,2400,0,1,500,9,1,106,1,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan,NY,10021
9019,55944355,5325,1,1,697,2,36,13,1,0,0,0,0,0,0,0,Flatiron,All Downtown,Manhattan,NY,10010
3887,10817685,5317,2,2,981,3,5,85,1,0,0,0,0,0,0,0,Carroll Gardens,Northwest Brooklyn,Brooklyn,NY,11231
5275,39264097,3500,0,1,525,5,6,105,1,1,1,1,1,0,1,1,Midtown South,All Midtown,Manhattan,NY,10018
5877,75675056,3900,1,1,643,4,10,2,0,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan,NY,10017
1694,27404787,3375,2,1,800,6,2,106,0,0,1,0,0,1,0,0,Upper West Side,All Upper West Side,Manhattan,NY,10023
7995,61476204,6400,2,2,1094,3,8,9,0,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan,NY,10021
4544,33090883,2300,2,1,750,14,1,85,0,0,0,0,0,0,0,0,Red Hook,Northwest Brooklyn,Brooklyn,NY,12571
1746,83371097,2275,0,1,481,3,27,16,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens,NY,11101
11213,76954642,12500,2,2,2082,2,2,101,0,0,0,0,0,1,0,0,Tribeca,All Downtown,Manhattan,NY,10013
1026,32260830,2400,0,1,450,1,30,9,0,0,0,0,0,0,0,0,Fort Greene,Northwest Brooklyn,Brooklyn,NY,11201
2156,65476174,2595,0,1,285,5,10,86,0,0,0,0,0,0,0,0,Midtown West,All Midtown,Manhattan,NY,10019
